,GROUP_SET,GROUP_VALUE,SEASON_YEAR,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,Team
0,Overall,2016-17,2016-17,82,43,39,0.524,3976.0,102.3,104.5,103.1,105.2,-0.8,-0.7,0.621,1.5,17.4,0.282,0.717,0.502,0.16,0.504,0.541,99.8,97.76,81.46,8091,0.506,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Atlanta Hawks
1,Overall,2016-17,2016-17,82,53,29,0.646,3951.0,108.6,110.6,105.5,108.0,3.1,2.6,0.653,1.9,18.8,0.259,0.705,0.485,0.136,0.525,0.567,99.3,97.21,81.01,8005,0.514,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Boston Celtics
2,Overall,2016-17,2016-17,82,51,31,0.622,3976.0,110.9,112.8,108.0,109.7,2.9,3.1,0.567,1.66,17.1,0.264,0.722,0.499,0.14,0.547,0.58,98.4,96.74,80.61,8019,0.51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Cleveland Cavaliers
3,Overall,2016-17,2016-17,82,34,48,0.415,3981.0,103.3,104.7,104.9,106.8,-1.6,-2.1,0.582,1.77,17.1,0.228,0.728,0.48,0.129,0.504,0.539,100.1,98.56,82.13,8173,0.493,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,New Orleans Pelicans
4,Overall,2016-17,2016-17,82,41,41,0.5,3956.0,104.6,106.5,104.5,106.2,0.1,0.3,0.584,1.66,16.8,0.311,0.733,0.519,0.14,0.487,0.53,97.7,96.02,80.02,7919,0.504,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Chicago Bulls
5,Overall,2016-17,2016-17,82,33,49,0.402,3956.0,103.7,104.7,106.3,107.7,-2.6,-3.0,0.574,1.75,16.8,0.216,0.733,0.465,0.127,0.505,0.541,94.2,93.11,77.59,7668,0.479,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Dallas Mavericks
6,Overall,2016-17,2016-17,82,40,42,0.488,3951.0,110.0,112.2,110.5,111.7,-0.5,0.4,0.615,1.69,18.2,0.314,0.753,0.532,0.15,0.53,0.568,100.7,99.18,82.65,8167,0.503,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Denver Nuggets
7,Overall,2016-17,2016-17,82,67,15,0.817,3956.0,113.2,114.8,101.1,103.4,12.1,11.4,0.705,2.06,21.2,0.272,0.709,0.504,0.146,0.563,0.597,102.2,100.37,83.65,8279,0.579,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Golden State Warriors
8,Overall,2016-17,2016-17,82,55,27,0.671,3956.0,111.8,114.1,106.4,108.4,5.4,5.7,0.626,1.67,18.1,0.281,0.717,0.499,0.15,0.545,0.583,102.5,100.55,83.79,8289,0.516,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Houston Rockets
9,Overall,2016-17,2016-17,82,51,31,0.622,3951.0,110.3,111.8,105.8,107.5,4.5,4.4,0.57,1.74,17.2,0.256,0.733,0.501,0.133,0.537,0.574,98.2,96.77,80.64,7968,0.527,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Los Angeles Clippers
