Rk,Gcar,Gtm,Date,Team,Column6,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
60,,65,3/10/2025,ATL,,PHI,"W, 132-123",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,
39,,44,1/24/2024,ATL,@,GSW,"L, 112-134",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
71,,79,4/4/2023,ATL,@,CHI,"W, 123-105",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
42,,46,1/27/2025,ATL,@,MIN,"L, 92-100",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
51,,57,2/25/2024,ATL,,ORL,"W, 109-92",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
47,,54,2/4/2023,ATL,@,DEN,"L, 108-128",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
76,,82,4/13/2025,ATL,,ORL,"W, 117-105",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
51,,58,2/27/2024,ATL,,UTA,"W, 124-97",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
45,,51,1/30/2023,ATL,@,POR,"L, 125-129",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
37,,40,1/15/2025,ATL,@,CHI,"W, 110-94",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
51,,59,2/29/2024,ATL,@,BRK,"L, 97-124",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
73,,82,4/9/2023,ATL,@,BOS,"L, 114-120",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
27,,29,12/21/2024,ATL,,MEM,"L, 112-128",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
51,,60,3/2/2024,ATL,@,BRK,"L, 102-114",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
36,,41,1/11/2023,ATL,,MIL,"L, 105-114",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
11,,12,11/12/2024,ATL,@,BOS,"W, 117-116",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
51,,61,3/5/2024,ATL,@,NYK,"W, 116-100",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
31,,35,12/28/2022,ATL,,BRK,"L, 107-108",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
19,,21,12/8/2023,ATL,@,PHI,"L, 114-125",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
25,,28,12/12/2022,ATL,@,MEM,"L, 103-128",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
51,,62,3/6/2024,ATL,,CLE,"W, 112-101",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
21,,23,12/2/2022,ATL,,DEN,"W, 117-109",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,
51,,63,3/8/2024,ATL,@,MEM,"W, 99-92",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
9,,10,11/7/2022,ATL,,MIL,"W, 117-98",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,
51,,64,3/10/2024,ATL,,NOP,"L, 103-116",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
51,,65,3/13/2024,ATL,@,POR,"L, 102-106",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
51,,66,3/15/2024,ATL,@,UTA,"L, 122-124",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
39,,43,1/22/2024,ATL,@,SAC,"L, 107-122",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
51,,67,3/17/2024,ATL,@,LAC,"W, 110-93",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,
51,,69,3/21/2024,ATL,@,PHO,"L, 115-128",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,
51,,70,3/23/2024,ATL,,CHO,"W, 132-91",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,
51,,71,3/25/2024,ATL,,BOS,"W, 120-118",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,
9,,10,11/14/2023,ATL,@,DET,"W, 126-120",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
51,,72,3/27/2024,ATL,,POR,"W, 120-106",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,
51,,73,3/28/2024,ATL,,BOS,"W, 123-122 (OT)",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,
51,,74,3/30/2024,ATL,,MIL,"L, 113-122",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,
51,,75,4/1/2024,ATL,@,CHI,"W, 113-101",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
51,,76,4/3/2024,ATL,,DET,"W, 121-113",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
51,,77,4/4/2024,ATL,@,DAL,"L, 95-109",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
51,,78,4/6/2024,ATL,@,DEN,"L, 110-142",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
51,,79,4/9/2024,ATL,,MIA,"L, 111-117 (2OT)",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
51,,68,3/18/2024,ATL,@,LAL,"L, 105-136",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,
38,,41,1/19/2024,ATL,@,MIA,"W, 109-108",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
1,281,1,10/19/2022,ATL,,HOU,"W, 117-107",*,1.579166667,7,22,0.318,1,9,0.111,6,13,0.462,0.341,8,8,1,0,3,3,13,1,1,3,1,23,18.7,16
2,282,2,10/21/2022,ATL,,ORL,"W, 108-98",*,1.556944444,7,24,0.292,4,11,0.364,3,13,0.231,0.375,7,7,1,2,2,4,13,0,0,6,3,25,14.9,5
3,283,3,10/23/2022,ATL,,CHO,"L, 109-126",*,1.386805556,9,25,0.36,2,8,0.25,7,17,0.412,0.4,8,9,0.889,2,3,5,9,0,0,1,4,28,19.7,-6
4,284,4,10/26/2022,ATL,@,DET,"W, 118-113",*,1.572222222,9,21,0.429,1,7,0.143,8,14,0.571,0.452,16,17,0.941,0,3,3,6,1,0,1,2,35,27.8,10
5,285,5,10/28/2022,ATL,@,DET,"W, 136-112",*,1.254861111,12,20,0.6,4,6,0.667,8,14,0.571,0.7,8,10,0.8,1,1,2,12,0,0,1,1,36,34,12
6,286,6,10/29/2022,ATL,@,MIL,"L, 115-123",*,1.518055556,15,32,0.469,5,10,0.5,10,22,0.455,0.547,7,7,1,1,5,6,5,0,0,2,1,42,28.9,-13
7,287,7,10/31/2022,ATL,@,TOR,"L, 109-139",*,1.352083333,3,13,0.231,1,5,0.2,2,8,0.25,0.269,7,8,0.875,0,0,0,10,1,0,10,0,14,3.7,-29
8,288,8,11/2/2022,ATL,@,NYK,"W, 112-99",*,1.161111111,7,22,0.318,2,7,0.286,5,15,0.333,0.364,1,2,0.5,1,5,6,7,1,0,1,1,17,10.7,17
9,289,9,11/5/2022,ATL,,NOP,"W, 124-121 (OT)",*,1.764583333,9,26,0.346,2,9,0.222,7,17,0.412,0.385,14,15,0.933,1,0,1,10,2,1,5,3,34,23.2,-6
10,290,11,11/9/2022,ATL,,UTA,"L, 119-125",*,1.489583333,10,28,0.357,2,5,0.4,8,23,0.348,0.393,0,0,,1,3,4,9,2,0,2,0,22,14.3,8
11,291,12,11/10/2022,ATL,,PHI,"W, 104-95",*,1.377777778,7,21,0.333,2,8,0.25,5,13,0.385,0.381,10,10,1,1,2,3,7,1,0,6,0,26,15.3,16
12,292,13,11/12/2022,ATL,@,PHI,"L, 109-121",*,1.572916667,8,18,0.444,2,7,0.286,6,11,0.545,0.5,9,12,0.75,1,0,1,11,1,0,7,1,27,18.4,-5
13,293,14,11/14/2022,ATL,@,MIL,"W, 121-106",*,1.406944444,7,19,0.368,2,5,0.4,5,14,0.357,0.421,5,5,1,0,3,3,9,1,0,2,0,21,16.7,10
14,294,15,11/16/2022,ATL,,BOS,"L, 101-126",*,1.279166667,10,23,0.435,2,7,0.286,8,16,0.5,0.478,5,6,0.833,1,4,5,9,1,0,1,1,27,22.3,-10
15,295,16,11/19/2022,ATL,,TOR,"W, 124-122 (OT)",*,1.738888889,12,21,0.571,2,4,0.5,10,17,0.588,0.619,7,9,0.778,1,2,3,12,1,1,2,3,33,30.5,11
16,296,17,11/21/2022,ATL,@,CLE,"L, 102-114",*,1.477083333,10,22,0.455,1,7,0.143,9,15,0.6,0.477,4,6,0.667,0,2,2,10,1,0,6,1,25,15,-19
17,297,18,11/23/2022,ATL,,SAC,"W, 115-106",*,1.442361111,11,19,0.579,4,7,0.571,7,12,0.583,0.684,9,9,1,0,1,1,7,0,0,4,2,35,26.5,13
18,298,19,11/25/2022,ATL,@,HOU,"L, 122-128",*,1.565277778,13,28,0.464,4,10,0.4,9,18,0.5,0.536,14,16,0.875,0,0,0,5,1,0,4,4,44,27.7,-6
19,299,20,11/27/2022,ATL,,MIA,"L, 98-106",*,1.600694444,4,16,0.25,1,8,0.125,3,8,0.375,0.281,13,13,1,3,2,5,14,1,0,3,1,22,22.5,2
20,300,21,11/28/2022,ATL,@,PHI,"L, 101-104",*,1.419444444,6,14,0.429,1,4,0.25,5,10,0.5,0.464,5,5,1,1,1,2,10,0,0,3,0,18,15.6,-7
21,301,22,11/30/2022,ATL,@,ORL,"W, 125-108",*,1.509027778,12,23,0.522,2,11,0.182,10,12,0.833,0.565,4,5,0.8,0,2,2,14,0,0,2,0,30,26.7,24
22,302,24,12/5/2022,ATL,,OKC,"L, 114-121",*,1.527777778,6,19,0.316,1,7,0.143,5,12,0.417,0.342,10,11,0.909,0,3,3,10,0,0,4,1,23,15.2,-11
23,303,25,12/7/2022,ATL,@,NYK,"L, 89-113",*,1.252083333,9,20,0.45,0,4,0,9,16,0.563,0.45,1,2,0.5,1,3,4,6,0,0,4,0,19,10,-26
24,304,26,12/9/2022,ATL,@,BRK,"L, 116-120",*,1.555555556,12,25,0.48,2,7,0.286,10,18,0.556,0.52,7,7,1,0,0,0,9,3,1,8,2,33,21.5,-6
25,305,27,12/11/2022,ATL,,CHI,"W, 123-122 (OT)",*,1.76875,5,18,0.278,2,8,0.25,3,10,0.3,0.333,7,9,0.778,0,2,2,14,0,0,6,4,19,10.4,7
26,306,29,12/14/2022,ATL,@,ORL,"L, 124-135",*,1.613888889,6,15,0.4,1,5,0.2,5,10,0.5,0.433,6,7,0.857,1,2,3,16,0,0,5,3,19,16.8,-17
27,307,30,12/16/2022,ATL,@,CHO,"W, 125-106",*,1.402083333,8,18,0.444,2,5,0.4,6,13,0.462,0.5,13,14,0.929,0,1,1,9,1,0,4,1,31,24.4,3
28,308,31,12/19/2022,ATL,,ORL,"W, 126-125",*,1.511805556,11,22,0.5,3,7,0.429,8,15,0.533,0.568,12,12,1,1,2,3,13,0,0,4,1,37,32,4
29,309,32,12/21/2022,ATL,,CHI,"L, 108-110",*,1.5875,9,24,0.375,7,14,0.5,2,10,0.2,0.521,9,9,1,2,4,6,6,1,0,5,1,34,23.2,2
30,310,33,12/23/2022,ATL,,DET,"W, 130-105",*,1.295138889,9,15,0.6,3,7,0.429,6,8,0.75,0.7,5,8,0.625,0,2,2,13,2,0,1,0,26,28.6,17
31,311,34,12/27/2022,ATL,@,IND,"L, 114-129",*,1.420833333,5,15,0.333,3,6,0.5,2,9,0.222,0.433,9,10,0.9,0,3,3,10,0,1,4,1,22,17.3,-15
32,312,36,12/30/2022,ATL,,LAL,"L, 121-130",*,1.50625,11,24,0.458,0,4,0,11,20,0.55,0.458,7,9,0.778,2,1,3,8,1,0,4,4,29,18.5,-9
