Rk,Gcar,Gtm,Date,Team,Column6,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
76,,81,4/11/2025,OKC,@,UTA,"W, 145-111",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
71,,78,4/7/2024,OKC,@,CHO,"W, 121-118",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
64,,77,3/29/2023,OKC,,DET,"W, 107-106",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
76,,80,4/9/2025,OKC,@,PHO,"W, 125-112",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
71,,77,4/5/2024,OKC,@,IND,"L, 112-126",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,10/23/2022,OKC,,MIN,"L, 106-116",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,
66,,69,3/19/2025,OKC,,PHI,"W, 133-100",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
71,,76,4/3/2024,OKC,@,BOS,"L, 100-135",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
64,,76,3/28/2023,OKC,,CHO,"L, 134-137",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
61,,63,3/7/2025,OKC,,POR,"W, 107-89",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
71,,75,4/2/2024,OKC,@,PHI,"L, 105-109",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
57,,68,3/12/2023,OKC,@,SAS,"W, 102-90",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
76,,82,4/13/2025,OKC,@,NOP,"W, 115-100",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
5,,6,11/3/2023,OKC,,GSW,"L, 139-141",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
56,,66,3/8/2023,OKC,@,PHO,"L, 101-132",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
40,,41,1/17/2025,OKC,@,DAL,"L, 98-106",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,
70,,73,3/29/2024,OKC,,PHO,"W, 128-103",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
54,,63,3/3/2023,OKC,,UTA,"W, 130-103",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
70,,72,3/27/2024,OKC,,HOU,"L, 126-132 (OT)",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
54,,62,3/1/2023,OKC,,LAL,"L, 117-123",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
54,,61,2/28/2023,OKC,,SAC,"L, 117-123",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
54,,60,2/26/2023,OKC,,SAC,"L, 115-124",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
54,,59,2/24/2023,OKC,@,PHO,"L, 115-124",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
68,,82,4/9/2023,OKC,,MEM,"W, 115-100",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
33,,37,1/3/2023,OKC,,BOS,"W, 150-117",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,
27,,30,12/17/2022,OKC,,MEM,"W, 115-109",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
20,,22,11/30/2022,OKC,,SAS,"W, 119-111",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
1,244,1,10/19/2022,OKC,@,MIN,"L, 108-115",*,1.532638889,12,23,0.522,2,6,0.333,10,17,0.588,0.565,6,6,1,2,4,6,5,3,2,2,1,32,28.8,-1
2,245,2,10/22/2022,OKC,@,DEN,"L, 117-122",*,1.413888889,11,24,0.458,1,5,0.2,10,19,0.526,0.479,5,5,1,0,3,3,7,1,0,5,4,28,15.8,-6
3,246,4,10/25/2022,OKC,,LAC,"W, 108-94",*,1.530555556,11,22,0.5,2,2,1,9,20,0.45,0.545,9,9,1,1,4,5,8,3,3,2,0,33,32.6,23
4,247,5,10/27/2022,OKC,,LAC,"W, 118-110",*,1.417361111,10,23,0.435,2,4,0.5,8,19,0.421,0.478,2,2,1,1,4,5,6,3,0,3,4,24,16.4,12
5,248,6,10/29/2022,OKC,@,DAL,"W, 117-111 (OT)",*,1.722222222,15,27,0.556,0,2,0,15,25,0.6,0.556,8,8,1,2,4,6,9,2,1,3,2,38,32.9,20
6,249,7,11/1/2022,OKC,,ORL,"W, 116-108",*,1.370833333,12,18,0.667,0,3,0,12,15,0.8,0.667,10,11,0.909,0,4,4,6,3,2,5,2,34,29.8,-2
7,250,8,11/3/2022,OKC,,DEN,"L, 110-122",*,1.466666667,13,17,0.765,0,0,,13,17,0.765,0.765,11,11,1,1,3,4,3,2,0,4,3,37,30.8,-6
8,251,9,11/5/2022,OKC,@,MIL,"L, 94-108",*,1.323611111,7,16,0.438,0,1,0,7,15,0.467,0.438,4,5,0.8,0,1,1,3,1,1,2,3,18,10.1,-19
9,252,10,11/7/2022,OKC,@,DET,"L, 103-112",*,1.583333333,13,23,0.565,0,0,,13,23,0.565,0.565,7,7,1,2,5,7,5,1,4,1,2,33,30.5,-8
10,253,11,11/9/2022,OKC,,MIL,"L, 132-136 (2OT)",*,1.920138889,13,25,0.52,2,5,0.4,11,20,0.55,0.56,11,13,0.846,1,3,4,4,0,2,4,5,39,25.7,3
11,254,12,11/11/2022,OKC,,TOR,"W, 132-113",*,1.16875,8,14,0.571,1,2,0.5,7,12,0.583,0.607,3,4,0.75,0,3,3,4,3,1,3,2,20,16.6,13
12,255,13,11/13/2022,OKC,@,NYK,"W, 145-135",*,1.508333333,13,22,0.591,2,3,0.667,11,19,0.579,0.636,9,10,0.9,0,5,5,8,3,2,6,2,37,31.1,4
13,256,14,11/14/2022,OKC,@,BOS,"L, 122-126",*,1.499305556,13,26,0.5,2,4,0.5,11,22,0.5,0.538,9,9,1,1,3,4,8,2,1,4,2,37,29.1,-3
14,257,15,11/16/2022,OKC,@,WAS,"W, 121-120",*,1.450694444,14,22,0.636,2,3,0.667,12,19,0.632,0.682,12,17,0.706,2,4,6,7,0,1,2,1,42,36,9
15,258,16,11/18/2022,OKC,@,MEM,"L, 110-121",*,1.411111111,6,18,0.333,2,4,0.5,4,14,0.286,0.389,1,1,1,1,5,6,6,0,1,2,4,15,8.3,-13
16,259,17,11/21/2022,OKC,,NYK,"L, 119-129",*,1.441666667,9,22,0.409,0,2,0,9,20,0.45,0.409,12,13,0.923,1,4,5,7,1,1,3,3,30,22.1,-7
17,260,18,11/23/2022,OKC,,DEN,"L, 126-131 (OT)",*,1.771527778,8,20,0.4,1,4,0.25,7,16,0.438,0.425,14,14,1,1,6,7,11,2,1,1,3,31,30.9,2
18,261,19,11/25/2022,OKC,,CHI,"W, 123-119 (OT)",*,1.682638889,8,21,0.381,0,3,0,8,18,0.444,0.381,14,15,0.933,1,7,8,7,0,1,1,2,30,24.7,9
19,262,20,11/26/2022,OKC,@,HOU,"L, 105-118",*,1.146527778,12,21,0.571,1,3,0.333,11,18,0.611,0.595,7,7,1,1,2,3,3,2,0,3,1,32,24.1,-9
